concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
"basic terms, forest/forest land, national, land cover",NIR and NFI,Italy,2009,0.5,,10.0,,5.0,,,,"Crown cover > 10%, tree height > 5m, area > 0.5 ha"
"basic terms, forest/forest land, national, land cover",,Jamaica,1992,4.0,,75.0,,5.0,7.0,,,"Jamaica has several definitions depending on remote sensing source used. Using the largest scale definition, forest land appears to be areas covered with trees at least 5-7 m tall, with a crown closure of 75% and a minimum area of 4 ha. See: 1) Land use classification 1:100 000 scale (National level"
"basic terms, forest/forest land, national, land cover",,Japan,2003,0.3,,,,,,,,"Minimum area = 0.3 ha, minimum tree crown cover = 30%, minimum tree height = 5 m"
"basic terms, forest/forest land, national, land cover",?,Kenya,1965,,,,,5.0,,,,"A closed stand of trees of one or more storeys, with an interlaced upper canopy, rising to 7·5-40 m or more in height. The ground cover is dominated by herbs and shrubs, and lianes and epiphytes are characteristic. Dwarf forests are as defined but rise to less than 7·5 m in height"
"basic terms, forest/forest land, national, land cover",,Kenya,1995,,,40.0,,10.0,,,,"Kenya’s woody vegetation includes forests, woodlands, bushland and wooded grasslands. Wass (1995) defines forests as continuous stands of trees at least 10 meters tall, with interlocking crowns; woodlands as open stands of trees, at least 8 meters tall, with a canopy cover of 40% or more with the fi"
"basic terms, forest/forest land, national, land cover",,Kenya,2005,10.0,,,,,,,,Mini-forest refers to a crop of trees occupying less than 10 ha of land
"basic terms, forest/forest land, national, land cover",,Kenya,,,,40.0,,2.0,,,,"Min. av. height 2 m, 40% canopy cover. Note these figures vary by vegetation type. The most liberal thresholds are shown here. Source: ECE-FAO Partnership Programme: Kenya Workshop on Forestry Statistics. Appendix 6"
"basic terms, forest/forest land, national, land cover",Kosovo,,2010,0.5,,,,5.0,,,,"Land with tree crown cover (or equivalent stocking level) of more than 10% and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ. Gashi F., 2010"
"basic terms, forest/forest land, national, land cover",New National Forest Inventory,Kyrgyzstan,,,,20.0,,2.0,,25.0,,"Vegetation existing of forest species with the objective of timber production and various protective and other functions. The horizontal forest area has a minimum crown cover density of 20%, a minimum width of 25 meters and a minimum height of 2.0 meters. Source: Irina Yunusova irina@lesic.elcat.kg"
"basic terms, forest/forest land, national, land cover",,Kyrgyzstan,2000,,,20.0,,2.0,,25.0,,Forest in strict sense (conifer/broadleaf/mixed - see definitions at 3.3) is defined as vegetation consisting of forest species (according to the species list in annex 2) with the objective of timber production and various protection and other functions. The horizontal forest area has a minimum crow
"basic terms, forest/forest land, national, land cover",Lao,,1992,0.5,,,,,,,,"Forests – areas suitable for forest production and having a tree cover with a crown density of at least 20%, and supporting trees with a dbh more than 10cm, covering at least 0.5 ha (LSFP 92"
"basic terms, forest/forest land, national, land cover",Lao,,2011,,,20.0,,,,,,"Lao PDR uses a definition of forest cover of 20% canopy density, which is different from the definition used by FAO (personal communication, Mr. Khamseneas, Planning Division, Department of Forestry (DoF). February 2011"
"basic terms, forest/forest land, national, land cover",Lao KP,,,0.5,,,,5.0,,,,"GOL has already submitted a forest definition to UNFCCC (minimum 20% forest cover, minimum area 0.5 ha, minimum tree height 5 m, and palm trees and bamboo considered as non-forest"
"basic terms, forest/forest land, national, land cover",Lao,,2015,0.5,,20.0,,,,,,"In Lao PDR forests are defined as areas of at least 0.5 ha in size, with crown cover above 20%; with trees that will reach higher than 5 meters when mature. Dense forests have crown cover greater than 70%, medium-stocked between 40% and 70% and degraded forests have crown cover between 20% and 40%"
"basic terms, forest/forest land, national, land cover",,Latvia,2000,0.1,,,,,,,,"Forest (area>0.1 ha, potential height of trees>7 m, present or potential projection of crowns >20%). Latvijas Valsts mezi, 2000"
"basic terms, forest/forest land, national, land cover",,Latvia,2007,0.1,,,,,,,,"Forest is an ecosystem in all stages of its development, dominated by trees the height of which at the particular location may reach at least seven meters and the present or potential projection of the crown of which is at least 20 per cent of the area occupied by the forest stand. The following sha"
"basic terms, forest/forest land, national, land cover",KP,Latvia,2010,0.1,,20.0,,5.0,,,,"Crown cover > 20%, tree height > 5m, area > 0.1 ha"
"basic terms, forest/forest land, national, land cover",,Latvia,,,,20.0,,,,,,"Forest -National definition in use: crown cover 20 %, 7 m height limit"
"basic terms, forest/forest land, national, land cover",,Lebanon,,0.5,,,,,,,,"Forest refer to forest land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10%, or trees able to reach these threshold in situ. It does not include land that is predominantly under agricultural or urban land use"
"basic terms, forest/forest land, national, land cover",,Liechtenstein,2000,0.0625,,,,,,25.0,,"Minimum area of land: 0.0625 ha (with a minimum width of 25 m), minimum crown cover: 20%, minimum height of the dominant trees: 3 m (dominant trees must have the potential to reach, 3 m at maturity in situ). Amt für Wald, Natur und Landschaft (AWNL), 2000"
"basic terms, forest/forest land, national, land cover",NIR,Lithuania,2009,0.1,,,,5.0,,,,"Tree height > 5m, area > 0.1 ha"
"basic terms, forest/forest land, national, land cover",,Lithuania,,0.1,,,,,,,,"forest can also be defined as “at least 0.1 ha area grown-up with trees the height of which reaches 5 m or more under natural conditions, as well as thinned out or even having lost the vegetation naturally or because of human activities” (Forest act of Republic of Lithuania"
"basic terms, forest/forest land, national, land cover",,Luxembourg,2003,0.5,,,,5.0,,,,"Land with tree crown cover (or equivalent stocking level) of more than 10% and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ. Le gouvernement du Grand Duchè du Luxembourg, 2003"
"basic terms, forest/forest land, national, land cover",NIR and NFI,Luxembourg,2009,0.5,,10.0,,5.0,,,,"Crown cover > 10%, tree height > 5m, area > 0.5 ha"
"basic terms, forest/forest land, national, land cover",Macedonia,,1997,0.8094,,,,,,,,"Forest, as defined in this law, is land with forest types of trees and bushes, forest moor lands and meadows, forest roads, forest nurseries and other areas closely related to forests. As defined in this Law, alleys, plantations with fast-growing types of trees, parks with populated areas, field pro"
"basic terms, forest/forest land, national, land cover",Malaw,,2000,100.0,,,,,,,,"Min Area = 100 ha, Min. Crown Cover = 80%"
"basic terms, forest/forest land, national, land cover",,Malaysia,,,,10.0,,,,,,"An ecosystem with a minimum of 10 percent crown cover of trees and / or bamboos, generally associated with wild flora, fauna and natural soil conditions, and not subject to agricultural practices. This definition is also applied to the term ""forest land"". From: hcthang@forestry.gov.my (Thang Hooi Ch"
"basic terms, forest/forest land, national, land cover",,Malaysia,2016,0.5,,30.0,,,,,,"The forest definition used in the development of the reference level is based on the national legislation and is consistent with the national greenhouse gas inventory. However, the definition used by the FAO is not used as some agricultural land, like the state land and rubber plantations would be c"
"basic terms, forest/forest land, national, land cover",,Mexico,2003,25.0,,,,,,,,"Minimum area = 25 ha, minimum tree crown cover =10%, minimum tree height = 3 m"
"basic terms, forest/forest land, national, land cover",KP,Mexico,2005,1.0,,,,,,,,"country’s preliminary definition of forest as provided by the host country’s Designated National Authority in August 2005: Tree crown cover value of more than 30 per cent,A minimum area of 1 ha, and Trees with a mature tree height of more than 2 m"
"basic terms, forest/forest land, national, land cover",–INEG I,Mexico,1997,25.0,,,,,,,,Selva). Vegetacion arborea en climas calido —humedos a calidos semisecos. Se carateriza por tener generalmente una gran variedad de especies de origen tropical. INEGI 1997. Minimum mapping area 25 ha (INEGI n.d
"basic terms, forest/forest land, national, land cover",–INEGI,Mexico,1997,25.0,,,,,,,,"Bosque). Vegetacion arborea, princialment de zones templadas y semifrias, en climas subhumedos a muy humedos (INEGI 1997). Minimum mapping area 25 ha (INEGI n.d"
"basic terms, forest/forest land, national, land cover",Moldova,,2011,0.5,,,,5.0,,,,"Land with tree crown cover (or equivalent stocking level) of more than 10 % and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ. FOREST EUROPE, UNECE and FAO, 2011"
"basic terms, forest/forest land, national, land cover",Moldova  KP,,2007,0.25,,,,,,,,cover = 30%; area = 0.25 ha; Tree height = 5 m
"basic terms, forest/forest land, national, land cover",?,Mongolia,2007,1.0,,,,,,,,Cover = 10 %; area = 1 ha; tree height = 2 m
"basic terms, forest/forest land, national, land cover",,Montenegro,2000,0.05,,,,,,,,"Forest land definition based on the 2000 Forest law: “A forest relates to any area larger than 0.05 ha, covered with forest trees, having a protective function, and intended for forest production or it has special purpose, no matter of tree cover and size (high forest, copice forests and other types"
"basic terms, forest/forest land, national, land cover",,Morocco,,3.0,,,,,,,,"Forest (Arabic : Ghabah, French : Foret, Spanish : Bosque, Berber : ‘Ari) - Piece of land covered a vegetation in which trees(not only fruit trees) are predominant(over 50%), and with at least 3 ha of continuously forested area, and with a tree crown cover equal or superior to 20%. Mohammed Ellatifi"
"basic terms, forest/forest land, national, land cover",,Mozambique,1997,,,25.0,,,,,,"High forest 18 m, low forest < 18 m. Canopy cover 25 %. (Trevett 1997"
"basic terms, forest/forest land, national, land cover",,Mozambique,2007,1.0,,,,,,,,Cover = 30%; Area = 1 ha; tree height = 5 m
"basic terms, forest/forest land, national, land cover",?,Myanmar,2007,0.1,,,,,,,,Cover = 10%; Area = 0.1 ha; Tree height = 2 m
"basic terms, forest/forest land, national, land cover",,Namibia,1997,,,20.0,,5.0,,,,"Forest = areas with tree height 5 m, Savanna/shrub = areas with tree height <5 m. Canopy cover 20%. Moses Chakanga. chakanga@forestry.met.gov.na and (Trevett 1997"
"basic terms, forest/forest land, national, land cover",KP,Namibia,2011,0.5,,15.0,,5.0,,,,"a general definition of what constitutes a forest is a stand of a minimum size of 0.5 ha, a minimum height of 5 m and a crown cover of 15 % or more"
